timestamp,batt_volt,batt_level,height
1572000600,3.7,85,151
1572000900,3.7,85,151
1572001200,3.7,85,151
1572001500,3.7,85,151
1572001800,3.7,85,151
1572002100,3.7,85,151
1572002400,3.7,85,151
1572002700,3.7,85,151
1572003000,3.7,85,151
1572003300,3.7,85,151
1572003600,3.7,85,151
1572003900,3.7,85,151
1572004200,3.7,85,151
1572004500,3.7,85,151
1572004800,3.7,85,151
1572005100,3.7,85,151
1572005400,3.7,85,151
1572005700,3.7,85,151
1572006000,3.7,85,151
1572006300,3.7,85,151
1572006600,3.7,85,151
1572006900,3.7,85,151
1572007200,3.7,85,151
1572007500,3.7,85,151
1572007800,3.7,85,151
1572008100,3.7,85,151
1572008400,3.7,85,151
1572008700,3.7,85,151
1572009000,3.7,85,151
1572009300,3.7,85,151
1572009600,3.7,85,151
1572009900,3.7,85,151
1572010200,3.7,85,151
1572010500,3.7,85,151
1572010800,3.7,85,151
1572011100,3.7,85,151
1572011400,3.7,85,151
1572011700,3.7,85,151
1572012000,3.7,85,151
1572012300,3.7,85,151
1572012600,3.7,85,151
1572012900,3.7,85,151
1572013200,3.7,85,151
1572013500,3.7,85,151
1572013800,3.7,85,151
1572014100,3.7,85,151
1572014400,3.7,85,151
1572014700,3.7,85,151
1572015000,3.7,85,151
1572015300,3.7,85,151
1572015600,3.7,85,151
1572015900,3.7,85,151
1572016200,3.7,85,151
1572016500,3.7,85,151
1572016800,3.7,85,151
1572017100,3.7,85,151
1572017400,3.7,85,151
1572017700,3.7,85,151
1572018000,3.7,85,151
1572018300,3.7,85,151
1572018600,3.7,85,151
1572018900,3.7,85,151
1572019200,3.7,85,151
1572019500,3.7,85,151
1572019800,3.7,85,151
1572020100,3.7,85,151
1572020400,3.7,85,151
1572020700,3.7,85,151
1572021000,3.7,85,151
1572021300,3.7,85,151
1572021600,3.7,85,151
1572021900,3.7,85,151
1572022200,3.7,85,151
1572022500,3.7,85,151
1572022800,3.7,85,151
1572023100,3.7,85,151
1572023400,3.7,85,151
1572023700,3.7,85,151
1572024000,3.7,85,151
1572024300,3.7,85,151
1572024600,3.7,85,151
1572024900,3.7,85,151
1572025200,3.7,85,151
1572025500,3.7,85,151
1572025800,3.7,85,151
1572026100,3.7,85,151
1572026400,3.7,85,151
1572026700,3.7,85,151
1572027000,3.7,85,151
1572027300,3.7,85,151
1572027600,3.7,85,151
