timestamp,message
1596153309012,"Slope: 1.839896, Current: 142.795349, Previous: 115.196915"
1596153320211,"Number of data points in queue: 0"
1596153329411,", Entering power saving mode. Sleeping for 15 min."
1596154265250,"Slope: 0.000000, Current: 142.795349, Previous: 142.795349"
1596154268290,"Number of data points in queue: 0"
1596154277090,", Entering power saving mode. Sleeping for 15 min."
1596155206930,"Slope: 0.007875, Current: 142.913467, Previous: 142.795349"
1596155210050,"Number of data points in queue: 0"
1596155219491,", Entering power saving mode. Sleeping for 15 min."
1596156149250,"Slope: -0.002625, Current: 142.874100, Previous: 142.913467"
1596156152691,"Number of data points in queue: 0"
1596156162371,", Entering power saving mode. Sleeping for 15 min."
1596157094134,"Slope: 0.013123, Current: 143.070938, Previous: 142.874100"
1596157097495,"Number of data points in queue: 0"
1596157107095,", Entering power saving mode. Sleeping for 15 min."
1596158036771,"Slope: -0.002625, Current: 143.031570, Previous: 143.070938"
1596158039811,"Number of data points in queue: 0"
1596158049251,", Entering power saving mode. Sleeping for 15 min."
1596158567408,"Slope: 0.000000, Current: 0.000000, Previous: 0.000000"
1596158568048,"Internal timestamp invalid. Fetching from server."
1596158570927,"Number of data points in queue: 0"
1596158585261,", Entering power saving mode. Sleeping for 15 min., "
1596158978930,"Slope: 0.002625, Current: 143.070938, Previous: 143.031570"
1596158982291,"Number of data points in queue: 0"
1596158991651,", Entering power saving mode. Sleeping for 15 min."
1596159122768,"Slope: 0.000000, Current: 0.000000, Previous: 0.000000"
1596159123408,"Internal timestamp invalid. Fetching from server."
1596159126049,"Safe mode requested."
1596159922372,"Slope: 0.002626, Current: 143.110321, Previous: 143.070938"
1596159925411,"Number of data points in queue: 0"
1596159934371,", Entering power saving mode. Sleeping for 15 min."
1596160864133,"Slope: 0.000000, Current: 143.110321, Previous: 143.110321"
1596160867491,"Number of data points in queue: 0"
1596160876531,", Entering power saving mode. Sleeping for 15 min."
1596161807171,"Slope: -0.007875, Current: 142.992203, Previous: 143.110321"
1596161810211,"Number of data points in queue: 0"
1596161819411,", Entering power saving mode. Sleeping for 15 min."
1596162566052,"Slope: 0.000000, Current: 0.000000, Previous: 0.000000"
1596162566691,"Internal timestamp invalid. Fetching from server."
1596162569412,"Safe mode requested."
1596162749091,"Slope: 0.010499, Current: 143.149689, Previous: 142.992203"
1596162752451,"Number of data points in queue: 0"
1596162761490,", Entering power saving mode. Sleeping for 15 min."
1596163691172,"Slope: 0.000000, Current: 143.149689, Previous: 143.149689"
1596163694211,"Number of data points in queue: 0"
1596163703811,", Entering power saving mode. Sleeping for 15 min."
1596164634451,"Slope: -0.007875, Current: 143.031570, Previous: 143.149689"
1596164637650,"Number of data points in queue: 0"
1596164646690,", Entering power saving mode. Sleeping for 15 min."
1596165577733,"Slope: 0.005250, Current: 143.110321, Previous: 143.031570"
1596165580930,"Number of data points in queue: 0"
1596165589970,", Entering power saving mode. Sleeping for 15 min."
1596166520771,"Slope: 0.000000, Current: 143.110321, Previous: 143.110321"
1596166523811,"Number of data points in queue: 0"
1596166533339,", Entering power saving mode. Sleeping for 15 min."
1596167463091,"Slope: 0.002625, Current: 143.149689, Previous: 143.110321"
1596167466371,"Number of data points in queue: 0"
1596167475331,", Entering power saving mode. Sleeping for 15 min."
1596168405251,"Slope: 0.005249, Current: 143.228424, Previous: 143.149689"
1596168408371,"Number of data points in queue: 0"
1596168418131,", Entering power saving mode. Sleeping for 15 min."
1596169347891,"Slope: 0.015748, Current: 143.464645, Previous: 143.228424"
1596169351090,"Number of data points in queue: 0"
1596169360530,", Entering power saving mode. Sleeping for 15 min."
1596170290210,"Slope: 0.005249, Current: 143.543381, Previous: 143.464645"
1596170293810,"Number of data points in queue: 0"
1596170303330,", Entering power saving mode. Sleeping for 15 min."
1596171232930,"Slope: -0.002625, Current: 143.504013, Previous: 143.543381"
1596171236050,"Number of data points in queue: 0"
1596171244690,", Entering power saving mode. Sleeping for 15 min."
1596172177411,"Slope: 0.002625, Current: 143.543381, Previous: 143.504013"
1596172180531,"Number of data points in queue: 0"
1596172189811,", Entering power saving mode. Sleeping for 15 min."
1596173120450,"Slope: 0.007875, Current: 143.661499, Previous: 143.543381"
1596173123650,"Number of data points in queue: 0"
1596173133170,", Entering power saving mode. Sleeping for 15 min."
1596174063090,"Slope: 0.007874, Current: 143.779602, Previous: 143.661499"
1596174066211,"Number of data points in queue: 0"
1596174075250,", Entering power saving mode. Sleeping for 15 min."
1596175005091,"Slope: 0.002625, Current: 143.818970, Previous: 143.779602"
1596175008210,"Number of data points in queue: 0"
1596175017890,", Entering power saving mode. Sleeping for 15 min."
1596175950690,"Slope: -0.010498, Current: 143.661499, Previous: 143.818970"
1596175953890,"Number of data points in queue: 0"
1596175963330,", Entering power saving mode. Sleeping for 15 min."
1596176893012,"Slope: 0.010498, Current: 143.818970, Previous: 143.661499"
1596176896131,"Number of data points in queue: 0"
1596176905331,", Entering power saving mode. Sleeping for 15 min."
1596177835090,"Slope: 0.005250, Current: 143.897720, Previous: 143.818970"
1596177838450,"Number of data points in queue: 0"
1596177847491,", Entering power saving mode. Sleeping for 15 min."
1596178777250,"Slope: -0.005250, Current: 143.818970, Previous: 143.897720"
1596178780370,"Number of data points in queue: 0"
1596178789732,", Entering power saving mode. Sleeping for 15 min."
1596179720455,"Slope: 0.002626, Current: 143.858353, Previous: 143.818970"
1596179723734,"Number of data points in queue: 0"
1596179732530,", Entering power saving mode. Sleeping for 15 min."
1596180664370,"Slope: 0.000000, Current: 143.858353, Previous: 143.858353"
1596180667570,"Number of data points in queue: 0"
1596180677170,", Entering power saving mode. Sleeping for 15 min."
1596181608051,"Slope: 0.013123, Current: 144.055191, Previous: 143.858353"
1596181611411,"Number of data points in queue: 0"
1596181620451,", Entering power saving mode. Sleeping for 15 min."
1596182550210,"Slope: 0.002625, Current: 144.094559, Previous: 144.055191"
1596182553410,"Number of data points in queue: 0"
1596182562690,", Entering power saving mode. Sleeping for 15 min."
1596183492450,"Slope: 0.018374, Current: 144.370163, Previous: 144.094559"
1596183495810,"Number of data points in queue: 0"
1596183504850,", Entering power saving mode. Sleeping for 15 min."
1596184435650,"Slope: -0.020998, Current: 144.055191, Previous: 144.370163"
1596184438771,"Number of data points in queue: 0"
1596184448458,", Entering power saving mode. Sleeping for 15 min."
1596185378130,"Slope: 0.007875, Current: 144.173309, Previous: 144.055191"
1596185381169,"Number of data points in queue: 0"
1596185390931,", Entering power saving mode. Sleeping for 15 min."
1596186321650,"Slope: -0.010499, Current: 144.015823, Previous: 144.173309"
1596186325012,"Number of data points in queue: 0"
1596186333650,", Entering power saving mode. Sleeping for 15 min."
